L0,Capability L1,Capability L2,Salesforce Module / Product
Platform,Qobra,Compensation,AppExchange
Sales,CTI,CTI Framework,Salesforce Core
Customer Care,Case Management,Case Assignment Workflow,Service Cloud
Customer Care,Case Management,Auto Response Workflow,Service Cloud
Customer Care,Case Management,Escalation Workflow,Service Cloud
Customer Care,Feedback / Surveys / VOC,Surveys,Salesforce Core
Customer Care,Knowledge Management,Article Workflow & Taxonomy,Service Cloud
Customer Care,Knowledge Management,Multi-Language,Service Cloud
Customer Care,Omni-Channel Contact Center,Routing,Service Cloud
Customer Care,Omni-Channel Contact Center,Interaction History,Service Cloud
Customer Care,Service Contract & Entitlement,SLA & Milestones,Service Cloud
Customer Care,Service Quality & Analytics,Sentiment Analysis,Einstein
Customer Care,Unified Agent Experience,360° Customer View,Service Cloud
Customer Care,Unified Agent Experience,Guided Support,Service Cloud
Lead Account Opportunity,Account Management,Account Data Management / 360,Sales Cloud
Lead Account Opportunity,Account Management,Account Planning,Sales Cloud
Lead Account Opportunity,Account Management,Account Early Warning System,Sales Cloud
Lead Account Opportunity,Account Management,Account Insights,Sales Cloud
Lead Account Opportunity,Account Management,Account White Space Analysis,Sales Cloud
Lead Account Opportunity,Account Management,Account Hierarchies,Sales Cloud
Lead Account Opportunity,Contact Management,Contact Data Management,Sales Cloud
Lead Account Opportunity,Contact Management,Contact Roles,Sales Cloud
Lead Account Opportunity,Contact Management,Contact (Person) Accounts,Sales Cloud
Lead Account Opportunity,Contact Management,Social Contacts,Sales Cloud
Lead Account Opportunity,Contact Management,Contact-to-Account Relationships,Sales Cloud
Lead Account Opportunity,Contact Management,Contact Activities,Sales Cloud
Lead Account Opportunity,Lead Management,Einstein Lead Scoring,Einstein
Lead Account Opportunity,Lead Management,AI Activity Capture,Einstein
Lead Account Opportunity,Lead Management,Sales Process,Sales Cloud
Lead Account Opportunity,Lead Management,Sales Console,Sales Cloud
Lead Account Opportunity,Lead Management,Click-to-Call Dialer,Salesforce Core (CTI)
Platform,User Access Management,Roles / Profiles / PermSets,Salesforce Core
Platform,BI / Contract / Invoicing,External Integrations,Integration
Platform,Agentforce,Agentforce,Agentforce
Platform,Agentic AI,Agentic AI,Einstein
Platform,DevOps Center,DevOps Center,Platform
Platform,Revenue Cloud Migration,RCA / RCB,Revenue Cloud
Sales,Compensation,Sales Incentives & Rewards,AppExchange
Sales,Compensation,Comp Automation,AppExchange (Qobra)
Sales,Compensation,Commission Mgmt. & Forecasting,AppExchange (Qobra)
Sales,Compensation,Performance Review / Evaluation,External
Sales,Compensation,(Non) Variable Comp,External
Sales,Compensation,Sales Metrics & Quotas,Sales Cloud
Sales,Contract Lifecycle,Contract Document,Revenue Cloud
Sales,Contract Lifecycle,Contract Approval Automation,Revenue Cloud
Sales,Contract Lifecycle,Contract Lifecycle,Revenue Cloud
Sales,Contract Lifecycle,Contract Line Item (Products),Revenue Cloud
Sales,Contract Lifecycle,Contract T&C – Product,Revenue Cloud
Sales,Contract Lifecycle,Legal Review Engagement,Revenue Cloud + Flow
Sales,Cross / Up-Sell,Whitespace Recommendations,Einstein
Sales,Cross / Up-Sell,Recommended Products & Add-On,Revenue Cloud
Sales,Cross / Up-Sell,Related Products,Revenue Cloud
Sales,Cross / Up-Sell,Customer Credit Management,Revenue Cloud
Sales,Deal Support Requests SDS,Deal Collaboration,Chatter
Sales,Deal Support Requests SDS,SME Engagement,Chatter
Sales,Deal Support Requests SDS,Resource Bandwidth Tracking,Custom
Sales,Deal Support Requests SDS,Deal Support Automation,Flow
Sales,Guided Solution Selling SGS,Sales Methodology,Enablement
Sales,Guided Solution Selling SGS,Digital Sales Aid,Enablement
Sales,Guided Solution Selling SGS,Sales Solution Resolution,Process
Sales,Guided Solution Selling SGS,Sales Path,Sales Cloud
Sales,Guided Solution Selling SGS,Sales Coaching,Sales Enablement
Sales,Sales Enablement,Sales Strategy,Process / Custom
Sales,Sales Enablement,Collateral Management,Sales Cloud
Sales,Sales Enablement,Sales Automation,Sales Cloud
Sales,Sales Enablement,Competitive Intelligence & Certifications,Sales Enablement
Sales,Sales Enablement,Sales Training / Playbook,Sales Enablement
Sales,Sales Performance,Sales Quota Planning,Sales Cloud
Sales,Sales Performance,Deal Forecasting,Sales Cloud
Sales,Sales Performance,Sales Quota Attainment,Sales Cloud
Sales,Sales Performance,Run-Rate Forecasting,Sales Cloud
Sales,Sales Performance,Pipeline Mgmt & Trending,Sales Cloud
Sales – Billing,Billing,Billing,Custom
Sales – Billing,Credit & Collections,Dunning Management,Revenue Cloud / Integration
Sales – Billing,Invoice Management,Automated Invoicing,Revenue Cloud
Sales – CPQ,Guided Solution Configuration,Bundle Management,Revenue Cloud
Sales – CPQ,Guided Solution Configuration,Constraints & Validations,Revenue Cloud
Sales – CPQ,Pricing Management,Volume Discounting,Revenue Cloud
Sales – CPQ,Pricing Management,Price Approvals / Thresholds,Revenue Cloud
Sales – CPQ,Pricing Management,Channel & Partner Pricing,Revenue Cloud
Sales – CPQ,Product Catalog Management,Product Bundles & Variants,Revenue Cloud
Sales – CPQ,Proposal Management,e-Signatures,Salesforce Core
Sales – CPQ,Quote Management,Quote Creation,Revenue Cloud
Sales – CPQ,Quote Management,Quote Expiration Mgmt,Revenue Cloud
Sales – CPQ,Subscription Management,Renew / Amend / Cancel,Revenue Cloud